食物名稱,種類,能量,蛋白質,碳水化合物,脂肪,膳食纖維,糖,鈉
小麥芽,1,198,7.49,42.53,1.27,1.1,0,16
小麥英式鬆餅,1,223,8.7,44.8,2,4.6,1.56,382
小麥英式鬆餅(烘過),1,243,9.4,48.7,2.1,5,1.7,415
小麥蛋白,1,370,75.16,13.79,1.85,0.6,0,29
小麥餐包,1,273,8.6,46,6.3,3.8,1.63,340
小麥麵包,1,266,10.91,47.51,3.64,3.6,5.75,521
小麥麵包(烘過),1,313,12.96,55.77,4.27,4.7,6.42,611
布朗尼(快餐式),1,405,4.57,64.95,16.84,0,0,255
布朗尼曲奇,1,405,4.8,63.9,16.3,2.1,36.61,312
布朗尼曲奇預拌粉,1,434,4,76.6,14.9,0,0,303
幸運曲奇,1,378,4.2,84,2.7,1.6,45.42,274
德國朱古力蛋糕預拌粉(布甸類型),1,401,4,80.1,9.5,3.5,49.54,643
忌廉夾心冬甩(酵母發酵),1,361,6.4,30,24.5,0.8,14.55,309
忌廉夾心咖啡蛋糕(朱古力糖霜面層),1,331,5,53.8,10.8,2,0,323
忌廉夾心威化餅,1,511,4.1,70.1,24.3,0.6,35.44,147
忌廉夾心朱古力曲奇,1,469,5.61,70.67,19.78,2.8,41.01,503
忌廉夾心朱古力曲奇(朱古力面層),1,481,3.6,66.1,26.4,5.2,63.4,326
忌廉夾心朱古力蛋糕(糖霜面層),1,399,3.63,60.31,15.93,3.2,37.76,389
忌廉夾心海綿蛋糕,1,374,3.47,64.03,11.54,1,37.3,400
忌廉泡芙(含吉士餡料),1,258,6.7,22.9,15.5,0.4,9.49,341
忌廉泡芙[包括耶克蕾亞泡芙],1,362,9,22.8,25.9,0.8,0.43,557
意大利杜蘭麥粉(沒有添加),1,360,12.68,72.83,1.05,3.9,0,1
意大利粉(乾，沒有添加),1,371,13.04,74.67,1.51,3.2,2.67,6
意大利粉(熟，添加鹽),1,157,5.8,30.59,0.93,1.8,0.56,131
意大利粉(熟，無添加鹽),1,158,5.8,30.86,0.93,1.8,0.56,1
意式麵包,1,271,8.8,50,3.5,2.7,0.83,584
意粉(新鮮冷藏),1,288,11.31,54.73,2.3,0,0,26
意粉(新鮮冷藏，熟),1,131,5.15,24.93,1.05,0,0,6
愛爾蘭梳打麵包,1,290,6.6,56,5,2.6,0,398
手指餅(不含檸檬汁及皮),1,365,10.6,59.7,9.1,1,0,147
手指餅(含檸檬汁及皮),1,365,10.6,59.7,9.1,1,25.39,147
批底(以預拌粉焗製),1,501,6.7,50.4,30.4,1.8,0,729
批底(冷藏，未焗),1,445,2.97,51.11,25.46,1.8,0,409
批底(冷藏，焗),1,506,3.41,58.52,28.69,1.4,0,472
批底(雪藏，可即時烘焗，沒有添加),1,457,3.9,44.1,29.2,0.9,0,576
批底預拌粉,1,518,6.9,52.1,31.4,0,0,753
提子乾玉桂英式鬆餅(烘過)[包括蘋果玉桂],1,276,8.87,55.04,2.21,3,13.34,369
提子乾玉桂英式鬆餅[包括蘋果玉桂],1,240,7.91,48.1,1.8,2.6,14.76,332
提子乾軟曲奇,1,401,4.1,68,13.6,1.2,47.56,338
提子乾麵包(沒有添加),1,274,7.9,52.3,4.4,4.3,0,390
斯佩爾特小麥(未經烹煮),1,338,14.57,70.19,2.43,10.7,6.82,8
斯佩爾特小麥(熟),1,127,5.5,26.44,0.85,3.9,0,5
日式素麵(乾),1,356,11.35,74.1,0.81,4.3,0,1840
日式素麵(熟),1,131,4,27.54,0.18,0,0,161
日式蕎麥麵(乾),1,336,14.38,74.62,0.71,0,0,792
日式蕎麥麵(熟),1,99,5.06,21.44,0.1,0,0,60
曲奇餅碎批底(含全麥餅，可即時烘焗),1,501,5.1,64.3,24.83,1.9,18.13,417
曲奇餅碎批底(含朱古力，可即時烘焗),1,484,6.08,64.48,22.42,2.7,26.31,503
朱古力冬甩(蛋糕類型，糖霜或糖漿面層),1,417,4.5,57.4,19.9,2.2,31.92,340
朱古力威化餅,1,433,6.6,72.4,14.2,3.4,29.66,580
朱古力忌廉批,1,304,2.6,33.6,19.4,2,0,136
朱古力慕絲批(以預拌粉製成，無須烘焗類型),1,260,3.5,29.6,15.4,0,0,460
朱古力粒曲奇(以冷藏麵糰焗製),1,492,4.9,68.2,22.6,1.7,0,232
朱古力粒曲奇(快餐式),1,423,5.25,65.86,22.08,0,0,342
朱古力粒曲奇(較低脂肪),1,453,5.8,73.3,15.4,3.6,0,377
朱古力粒曲奇(較高脂肪，沒有添加),1,481,5.4,66.8,22.6,2.5,0,315
朱古力粒曲奇預拌粉,1,497,4.6,66.1,25.2,0,0,290
朱古力粒曲奇麵糰(冷藏),1,443,4.4,61.4,20.4,1.5,0,209
朱古力粒軟曲奇,1,454,4.9,65.05,20.62,2.4,37.85,272
朱古力蛋糕(朱古力糖霜面層),1,367,4.1,54.6,16.4,2.8,0,334
朱古力蛋糕杯(糖霜面層，低脂),1,305,4.3,67.2,3.7,4.3,0,413
朱古力蛋糕預拌粉,1,428,5.9,73,15.6,2.4,38.3,825
朱古力蛋糕預拌粉(布甸類型),1,396,4.6,78.7,9.2,3.5,46.01,893
杜蘭麥,1,339,13.68,71.13,2.47,0,0,2
果仁丹麥酥[包括杏仁、提子乾果仁、玉桂果仁],1,430,7.1,45.7,25.2,2,25.87,363
格子餅(朱古力粒，雪藏，可即時加熱),1,279,5.71,41.48,10,1.4,12.86,543
格子餅(酸奶味，雪藏，可即時加熱),1,273,6.58,41.05,9.22,2.2,4.3,621
格子餅(酸奶味，雪藏，可即時加熱，以微波爐加熱),1,289,6.92,44.16,9.4,2.4,4.5,663
格子餅(酸奶味，雪藏，可即時加熱，烘過),1,309,7.42,48.39,9.49,2.6,4.41,710
格子餅(雪藏，可即時加熱),1,285,6.47,42.98,9.7,2.2,4.91,638
格子餅(雪藏，可即時加熱，以微波爐加熱),1,298,6.71,45.41,9.91,2.4,5.04,682
格子餅(雪藏，可即時加熱，烘過),1,312,7.19,49.29,9.61,2.4,5.02,730
桃批,1,223,1.9,32.9,10,0.8,6.19,270
梅爾巴吐司餅乾,1,390,12.1,76.6,3.2,6.3,0.94,829
梅爾巴吐司餅乾(無添加鹽),1,390,12.1,76.6,3.2,6.3,0,19
棉花糖曲奇(朱古力面層)[包括棉花糖批],1,421,4,67.7,16.9,2,44.8,168
椰子吉士批,1,260,5.9,30.2,13.2,1.8,0,335
椰子蛋白曲奇,1,404,3.6,72.2,12.7,1.8,70.65,247
椰漿批,1,298,2.1,37.2,16.6,1.3,36.27,255
椰漿批(以預拌粉製成，無須烘焗類型),1,276,2.8,28.5,17.6,0.5,0,329
檸檬丹麥酥(沒有添加),1,371,5.4,47.8,18.5,1.9,0,354
檸檬炸批,1,316,3,42.6,16.1,2.6,0,374
檸檬蛋白批,1,268,1.5,47.2,8.7,1.2,23.86,146
水果丹麥酥(快餐式),1,356,5.06,47.94,16.95,0,0,354
水果丹麥酥(沒有添加)[包括蘋果、玉桂、提子乾、士多啤梨],1,371,5.4,47.8,18.5,1.9,0,354
水果咖啡蛋糕,1,311,5.2,51.5,10.2,2.5,0,385
水果炸批,1,316,3,42.6,16.1,2.6,21.4,374
水果粟米片早餐條,1,377,4.4,72.9,7.5,2.1,35.1,167
水果蛋糕,1,324,2.9,61.6,9.1,3.7,29.84,270
水果酥餅(以多士爐烘焗)[包括蘋果、藍莓、車厘子、士多啤梨],1,391,4.67,69.23,10.56,1.1,28.59,334
水果酥餅(以多士爐烘焗，糖霜面層)[包括蘋果、藍莓、車厘子、士多啤梨],1,391,4.23,70.81,10.08,0.7,35.52,312
水果酥餅(經多士爐烘焗)[包括蘋果、藍莓、車厘子、士多啤梨],1,409,4.7,72.7,11.03,1,28.99,354
法奇軟糖曲奇(蛋糕類型),1,349,5,78.3,3.7,2.8,0,192
法式或維也納麵包(烘過)[含酵頭],1,319,13,61.93,2.14,3.1,3.59,720
法式或維也納麵包[含酵頭],1,289,11.75,56.44,1.83,2.4,2.56,650
法式炸圈餅(糖漿面層),1,412,3.1,59.5,18.3,1.2,35.11,345
法式餐包,1,277,8.6,50.2,4.3,3.2,0.31,609
波士頓忌廉批,1,252,2.4,42.9,8.5,1.4,36.11,144
洒鹽薄脆餅乾(不含脂肪，低鈉),1,393,10.5,82.3,1.6,2.7,0.38,636
海綿蛋糕,1,289,5.4,61.1,2.7,0.5,36.66,244
深色黑麥粉,1,325,15.91,68.63,2.22,23.8,2.31,2
漢堡包或熱狗包,1,279,9.5,49.45,4.33,2.1,6.25,479
火雞肉批(雪藏),1,176,6.5,17.7,8.8,1.1,0,350
燕麥,1,389,16.89,66.27,6.9,10.6,0,2
燕麥(普通、快熟及即食，沒有強化，乾),1,379,13.15,67.7,6.52,10.1,0.99,6
燕麥(普通、快熟及即食，煮，添加鹽),1,71,2.54,12,1.52,1.7,0.27,71
燕麥(普通、快熟及即食，煮，無添加鹽),1,71,2.54,12,1.52,1.7,0.27,4
燕麥曲奇(不含脂肪),1,326,5.9,78.6,1.5,7.3,41.9,298
燕麥曲奇(以冷藏麵糰焗製),1,471,6,65.7,21,2.8,0,327
燕麥曲奇預拌粉,1,462,6.5,67.3,19.2,0,0,473
燕麥曲奇麵糰(冷藏),1,424,5.4,59.1,18.9,2.5,0,294
燕麥糖提子乾椰子早餐條[包括雜錦果麥條],1,464,9.8,66.7,17.6,3.1,27.52,278
燕麥軟曲奇,1,409,6.1,65.7,14.7,2.7,0,349
燕麥餐包,1,236,9.5,40.2,4.6,4.1,6.67,413
燕麥麩(熟）,1,40,3.21,11.44,0.86,2.6,0,1
燕麥麩(生),1,246,17.3,66.22,7.03,15.4,1.45,4
燕麥麩鬆餅,1,270,7,48.3,7.4,4.6,8.22,393
燕麥麵包,1,269,8.4,48.5,4.4,4,8.14,599
燕麥麵包(烘過),1,292,9.2,52.7,4.8,4.3,8.84,651
燕麥麵粉(部分脱麸),1,404,14.66,65.7,9.12,6.5,0.8,19
牛油曲奇(沒有添加),1,467,6.1,68.9,18.8,0.8,0,351
牛油牛角包,1,406,8.2,45.8,21,2.6,11.26,744
牛油磅蛋糕,1,388,5.5,48.8,19.9,0.5,0,398
牛油西多士(快餐式),1,264,7.66,26.7,13.9,0,0,380
牛肉批(雪藏，經處理),1,220,7.25,22.05,11.39,0.8,0,365
猶太薄脆蛋洋葱餅乾,1,391,10,77.1,3.9,5,0,285
猶太薄脆蛋餅乾,1,391,12.3,78.6,2.1,2.8,0,21
猶太薄脆餅乾,1,395,10,83.7,1.4,3,0.29,2
玉桂丹麥酥(快餐式),1,397,5.46,53.24,19,0,0,371
玉桂提子乾甜餐包,1,372,6.2,50.9,16.4,2.4,31.73,383
玉桂提子乾硬麵包圈,1,273,9.8,55.2,1.7,2.3,5.98,322
玉桂提子乾硬麵包圈(烘過),1,294,10.6,59.3,1.8,2.5,6.43,346
玉桂甜餐包(以冷藏麵糰烘製，糖霜面層),1,362,5.4,56.1,13.2,0,0,832
玉桂甜餐包麵糰(冷藏，糖霜面層),1,333,5,51.6,12.2,0,0,765
班戟(以預拌粉製成),1,194,5.2,36.7,2.5,1.3,0,628
班戟(雪藏，可即時加熱)[含酸奶],1,225,5.33,39.29,5.17,2.4,9.73,505
班戟(雪藏，可即時加熱，以微波爐加熱)[含酸奶],1,239,5.88,43.33,4.73,2.5,7.06,566
班戟預拌粉[含酸奶],1,376,10.1,71.3,4.9,2.7,0,1215
甘筍蛋糕預拌粉(布甸類型),1,415,5.1,79.2,9.8,0,0,567
甜包(甜酵母麵包),1,367,9.42,56.38,11.58,2.3,12.5,228
甜曲奇(以冷藏麵糰焗製),1,484,4.7,65.6,23.1,0.8,23.96,468
甜曲奇[含雲呢拿],1,478,5.1,67.9,21.1,0.8,37.7,357
甜曲奇麵糰(冷藏),1,436,4.2,59,20.7,0.7,21.56,422
番石榴小餡餅,1,379,5.48,47.76,18.5,2.2,17,231
白彼德麵包(沒有添加),1,275,9.1,55.7,1.2,2.2,0,536
白米(中粒，生，沒有添加),1,360,6.61,79.34,0.58,0,0,1
白米(短粒，生，沒有添加),1,358,6.5,79.15,0.52,0,0,1
白米(長粒，半熟，沒有添加，乾）,1,374,8.11,80.43,1.04,2.2,0.33,3
白米(長粒，生，沒有添加),1,365,7.13,79.95,0.66,1.3,0.12,5
白米粉,1,366,5.95,80.13,1.42,2.4,0.12,0
白粟米,1,365,9.42,74.26,4.74,0,0,35
白粟米粉糊(添加),1,365,9.34,76.27,3.78,9.6,0.64,5
白糯米(生),1,370,6.81,81.68,0.55,2.8,0,7
白糯米飯,1,97,2.02,21.09,0.19,1,0.05,5
白蛋糕預拌粉,1,426,4.5,78,10.9,0.9,54.51,664
白蛋糕預拌粉(布甸類型，沒有添加),1,423,3.9,81,9.5,0.7,0,665
