食物名稱,種類,能量,蛋白質,碳水化合物,脂肪,膳食纖維,糖,鈉
蕎麥粉,1,335,12.62,70.59,3.1,10,2.6,11
薄脆餅乾小食,1,504,6.6,61.37,25.83,2.1,7.45,865
薄脆餅乾小食(低鹽),1,502,7.4,61,25.3,1.6,1.79,373
薏米(熟),1,123,2.26,28.22,0.44,3.8,0.28,3
薏米(生),1,352,9.91,77.72,1.16,15.6,0.8,9
薑餅曲奇,1,416,5.6,76.9,9.8,2.2,19.92,654
薑餅預拌粉,1,437,4.4,74.6,13.8,1.7,46.62,657
藍莓批,1,232,1.8,34.9,10,1,9.89,325
藍莓鬆餅(以多士爐烘焗),1,313,4.6,53.3,9.5,1.8,4.85,478
藍莓鬆餅(低脂),1,255,4.23,50.05,4.22,4.2,27.05,315
藍莓鬆餅(經多士爐烘焗),1,333,4.9,56.7,10.1,1.9,12.95,509
藍莓鬆餅[包括小型鬆餅],1,393,5.28,49.54,19.24,1.7,27.05,315
藍莓鬆餅預拌粉,1,366,4.9,63.2,10,0,0,548
藜麥(未經烹煮),1,368,14.12,64.16,6.07,7,0,5
藜麥(熟),1,120,4.4,21.3,1.92,2.8,0,7
蘋果卷,1,274,3.3,41.1,11.2,2.2,25.75,269
蘋果批(以沒有添加的麵粉製成),1,237,1.9,34,11,1.6,0,266
蘋果牛角包,1,254,7.4,37.1,8.7,2.5,0,274
蛋白蛋糕,1,258,5.9,57.8,0.8,1.5,0,749
蛋白蛋糕(以預拌粉製成),1,257,6.1,58.7,0.3,0.2,30.51,509
蛋白蛋糕預拌粉,1,373,8.9,85.1,0.4,0.3,44.2,737
蛋白麵包(烘過)[含麩質],1,270,13.2,48.1,2.4,3.3,1.44,601
蛋白麵包[含麩質],1,245,12.1,43.8,2.2,3,1.44,547
蛋餐包,1,307,9.5,52,6.4,3.7,4.3,545
裸麥粗餐包,1,277,10.8,52.8,2.8,5.4,0.4,569
裸麥粗麵包,1,250,8.7,47.5,3.1,6.5,0.53,671
裸麥粗麵包(烘過),1,275,9.5,52.2,3.4,7.1,0.58,738
西多士(雪藏，可即時加熱),1,213,7.4,32.1,6.1,1.1,0,495
西多士條(快餐式),1,340,6,41.21,17.74,1.4,9.89,428
覆盆子丹麥酥(沒有添加),1,371,5.4,47.8,18.5,1.9,0,354
車厘子批,1,260,2,39.8,11,0.8,14.29,246
車厘子法奇軟糖蛋糕(朱古力糖霜面層),1,264,2.4,38,12.5,1.2,32.94,225
車厘子炸批,1,316,3,42.6,16.1,2.6,0,374
軟白麥,1,340,10.69,75.36,1.99,12.7,0.41,2
軟紅冬麥,1,331,10.35,74.24,1.56,12.5,0.41,2
迷你玉桂卷(快餐式),1,403,7.02,53.38,17.95,2.2,17.98,554
通心粉(乾，沒有添加),1,371,13.04,74.67,1.51,3.2,2.67,6
通心粉(熟，沒有添加),1,158,5.8,30.86,0.93,1.8,0.56,1
酥皮(雪藏，可即時烘焗),1,551,7.3,45.1,38.1,1.5,0.74,249
酥皮(雪藏，可即時烘焗，焗),1,558,7.4,45.7,38.5,1.5,0.75,253
酥皮麵糰,1,299,7.1,52.6,6,1.9,0.18,483
野生米(生),1,357,14.73,74.9,1.08,6.2,2.5,7
野生米飯,1,101,3.99,21.34,0.34,1.8,0.73,3
金黃粟米,1,365,9.42,74.26,4.74,7.3,0.64,35
雞肉批(雪藏，經處理),1,214,6.08,23.03,10.83,1.2,3.81,380
雞蛋吉士批,1,210,5.5,20.8,11.6,1.6,11.58,240
雞蛋硬麵包圈,1,278,10.6,53,2.1,2.3,0,505
雞蛋麵包,1,283,9.5,47.8,6,2.3,1.78,492
雞蛋麵包(烘過),1,315,10.5,52.6,6.6,2.5,1.94,540
雪糕筒(威化筒),1,417,8.1,79,6.9,3,6,143
雪糕筒(甜卷筒),1,402,7.9,84.1,3.8,1.7,25.66,320
雲吞皮[包括春卷皮],1,291,9.8,57.9,1.5,1.8,0,572
雲呢拿威化餅(較低脂肪),1,441,5,73.6,15.2,1.9,37.5,312
雲呢拿威化餅(較高脂肪),1,473,4.3,71.1,19.4,2,0,306
雲呢拿忌廉夾心曲奇,1,483,4.5,72.1,20,1.5,39.3,349
雲呢拿忌廉批,1,278,4.8,32.6,14.4,0.6,12.68,260
餅乾(原味或酸奶味),1,365,6.2,48.5,16.5,1.3,3.48,1052
餅乾(原味或酸奶味，以預拌粉製成),1,335,7.3,48.4,12.1,1.8,0,955
餅乾(原味或酸奶味，較低脂肪，以冷藏麵糰焗製),1,300,7.8,55.4,5.2,1.9,8.14,1451
餅乾(原味或酸奶味，較高脂肪，以冷藏麵糰焗製),1,352,7.38,46.63,15.09,0.9,8.02,1080
餅乾粉,1,383,9.3,80.9,1.7,2.6,0.33,28
餅乾預拌粉(原味或酸奶味),1,428,8,63.3,15.4,2.1,11.65,1276
餅乾麵糰(原味或酸奶味，冷藏，較低脂肪),1,257,6.7,47.6,4.5,1.6,7,1248
餅乾麵糰(原味或酸奶味，冷藏，較高脂肪),1,322,6.66,43.27,13.63,0.7,7.4,999
餐包[包括烘焗],1,310,10.86,52.04,6.47,2,5.55,536
香蕉忌廉批(以預拌粉製成，無須烘焗類型),1,251,3.4,31.6,12.9,0.6,0,290
高筋小麥白麵粉(添加),1,361,11.98,72.53,1.66,2.4,0.31,2
高筋小麥麵粉(沒有添加),1,361,11.98,72.53,1.66,2.4,0.31,2
高粱,1,339,11.3,74.63,3.3,6.3,0,6
麥梅爾巴吐司餅乾,1,374,12.9,76.4,2.3,7.4,0,837
麥糠麵包,1,248,8.8,47.8,3.4,4,9.68,486
麥維硬麵包圈,1,255,10.7,53.3,1.2,3.6,1.63,507
麥維麩提子乾鬆餅(以多士爐烘焗),1,295,5.2,52.2,8.8,7.7,13.98,495
麥維麩提子乾鬆餅(經多士爐烘焗),1,313,5.5,55.5,9.4,8.2,23.07,527
麥維麩鬆餅預拌粉,1,396,7.1,73,12,0,0,700
麥維麵包,1,236,10.4,39.8,4.4,4.5,7.7,407
麥維麵包(烘過),1,259,11.4,43.7,4.8,4.9,8.46,448
麥芽(未經加工),1,360,23.15,51.8,9.72,13.2,0,12
麥芽麵包,1,261,9.6,48.3,2.9,2.1,3.73,553
麥芽麵包(烘過),1,293,10.7,54.3,3.3,2.3,4.14,621
麥餅乾,1,456,8.95,67.35,17.36,3.7,13.8,918
麥餅乾(低鹽),1,473,8.6,64.9,20.6,4.5,13.04,283
麥餅乾(較低脂),1,444,9.34,71.52,13.37,3.4,15.01,866
麵包屑(乾，磨碎),1,395,13.35,71.98,5.3,4.5,6.2,732
麵包屑(乾，磨碎，已調味),1,383,14.13,68.49,5.48,4.9,5.74,1759
麵包條,1,412,12,68.4,9.5,3,1.26,657
麵包餡料(以餡料粉製成),1,177,3.2,21.7,8.6,2.9,2.11,543
麵包餡料粉,1,386,11,76.2,3.4,3.2,8.27,1590
黃粟米粉(脱胚，沒有添加),1,375,5.59,82.75,1.39,1.9,0.64,1
黃粟米粉糊(添加),1,365,9.34,76.27,3.78,0,0,5
黃蛋糕(朱古力糖霜面層),1,379,3.8,55.4,17.4,1.8,0,337
黃蛋糕(雲呢拿糖霜面層),1,373,3.5,58.8,14.5,0.3,0,344
黃蛋糕預拌粉(布甸類型),1,423,4,79.9,9.8,0.7,44.21,687
黃蛋糕預拌粉(沒有添加),1,432,4.4,78.1,11.6,1.1,0,657
黃蛋糕預拌粉(輕怡),1,404,4.7,84.1,5.5,1.3,0,604
黑小麥,1,336,13.05,72.13,2.09,0,0,5
黑麥,1,338,10.34,75.86,1.63,15.1,0.98,2
黑麥威化餅,1,334,9.6,80.4,0.9,22.9,1.01,794
黑麥威化餅(已調味),1,381,9,73.8,9.2,20.9,0,887
黑麥梅爾巴吐司餅乾[含粗裸麥],1,389,11.6,77.3,3.4,8,0,899
黑麥薄脆餅乾,1,366,7.9,82.2,1.3,16.5,1.07,264
黑麥餐包,1,286,10.3,53.1,3.4,4.9,1.17,892
黑麥麵包,1,258,8.5,48.3,3.3,5.8,3.85,660
黑麥麵包(烘過),1,284,9.4,53.1,3.6,6.4,4.23,725
五穀香,1,378,9.9,78.9,2.6,0.5,0,1
京八件,1,441,7.2,67.6,16.4,3,0,16.6
京式黃酥,1,490,6,67.7,21.8,0.3,0,52.7
優糯米,1,345,9,75.3,1,0.6,0,1.2
團粉[芡粉],1,348,1.5,85.8,0,0.8,0,13.3
大麥[元麥],1,327,10.2,73.3,1.4,9.9,0,0
大黃米[黍子],1,356,13.6,71.1,2.7,3.5,0,1.7
夾心酥餅,1,482,5.3,59.7,24.7,0.4,0,18.7
奶油蛋糕,1,379,7.2,56.5,13.9,0.6,0,80.7
奶油餅乾,1,431,8.5,70.2,13.1,1,0,196.4
宮廷蛋糕,1,335,7.4,69.2,3.4,0.8,0,49.1
小米,1,361,9,75.1,3.1,1.6,0,4.3
小米粥,1,46,1.4,8.4,0.7,0,0,4.1
小米麵,1,357,7.2,77.7,2.1,0.7,0,6.2
小麥,1,339,11.9,75.2,1.3,10.8,0,6.8
小麥粉(標準粉),1,349,11.2,73.6,1.5,2.1,0,3.1
小麥胚粉,1,403,36.4,44.5,10.1,5.6,0,4.6
年糕,1,156,3.3,34.7,0.6,0.8,0,56.4
德慶酥,1,464,5.9,70,18.7,3.9,0,59.9
掛麵(均值),1,348,10.3,75.6,0.6,0.7,0,184.5
方便麵,1,473,9.5,61.6,21.1,0.7,0,1144
早秈,1,361,9.9,76.2,2.2,1.4,0,1.6
早糯穀,1,360,7.1,77,3.2,2.8,0,4.1
晚秈(標一),1,346,7.9,77.3,0.7,0.5,0,1.5
月餅(五仁),1,424,8,64,16,3.9,0,18.5
月餅(唐王賞月),1,418,8,57.8,18.4,5.4,0,56.8
月餅(奶油松仁),1,446,6.4,59,21.4,4.1,0,17.7
月餅(奶油果餡),1,443,5.7,67.6,16.9,1,0,28.2
月餅(棗泥),1,427,7.1,64.9,15.7,1.4,0,24.3
月餅(百壽宴點),1,435,5.1,55.3,22.1,3,0,11.1
月餅(豆沙),1,411,8.2,65.6,13.6,3.1,0,22.4
月餅(香油果餡),1,456,6.3,65.2,19.7,3.5,0,28.2
板油酥餅,1,360,7.6,49.4,14.9,0.9,0,324
果料麵包,1,279,8.5,57,2.1,0.8,0,210.5
核桃薄脆,1,493,9.8,61.1,24.6,6.2,0,251.3
桃酥,1,483,7.1,65.1,21.8,1.1,0,33.9
椰圈麵包,1,320,9.5,59.9,4.8,0.3,0,106.2
水晶餅,1,438,0.2,70.5,17.4,0.8,0,31.5
水麵筋,1,142,23.5,12.3,0.1,0.9,0,15
江米條,1,440,5.7,78.1,11.7,0.4,0,46.5
油條,1,388,6.9,51,17.6,0.9,0,585.2
油餅,1,403,7.9,42.4,22.9,2,0,572.5
油麵筋,1,493,26.9,40.4,25.1,1.3,0,29.5
法式牛角麵包,1,378,8.4,54.6,14.3,1.5,0,352.3
法式配餐麵包,1,284,10,58.7,1.2,1,0,478.4
混糖糕點,1,455,7.9,69.5,16.3,0.8,0,135.2
烙餅(標準粉),1,259,7.5,52.9,2.3,1.9,0,149.3
煎餅,1,354,7.6,83.8,0.7,9.1,0,85.5
燒餅(加糖),1,298,8,62.7,2.1,2.1,0,62.5
燕麥片,1,377,15,66.9,6.7,5.3,0,3.7
牛奶餅乾,1,408,8.1,80.3,6.1,0.2,0,399
狀元餅,1,437,8.6,68.1,14.7,1,0,13.6
玉米(白，乾),1,352,8.8,74.7,3.8,8,0,2.5
玉米(黃，乾),1,348,8.7,73,3.8,6.4,0,3.3
玉米澱粉,1,346,1.2,85,0.1,0.1,0,6.3
玉米糝(黃),1,354,7.9,75.6,3,3.6,0,1.7
玉米麵(強化豆粉),1,352,11.8,68.3,4.9,6.4,0,1.6
玉米麵(白),1,353,8,73.1,4.5,6.2,0,0.5
玉米麵(黃),1,352,8.1,75.2,3.3,5.6,0,2.3
硬皮糕點,1,466,8.4,63.5,20.1,1.3,0,97.4
福來酥,1,470,6.2,64.2,21.4,2.2,0,44.6
秈稻穀(紅),1,348,7,76.4,2,2,0,22
秈米(標準)[機米],1,349,7.9,78.3,0.6,0.8,0,1.7
秈米粉(乾，細),1,346,8,78.3,0.1,0.1,0,5.9
秈米粉[排米粉],1,356,7.4,81.5,0.1,0.3,0,16.3
秈米飯(蒸),1,115,2.5,26,0.2,0.4,0,1.7
秈糯米,1,353,7.9,78,1.1,0.5,0,1.9
稻米(均值),1,347,7.4,77.9,0.8,0.7,0,3.8
空鍋餅,1,278,8.6,60.9,0.2,0.7,0,243.2
米飯(蒸)(均值),1,116,2.6,25.9,0.3,0.3,0,2.5
粉絲,1,338,0.8,83.7,0.2,1.1,0,9.3
粳米(標一),1,345,7.7,77.4,0.6,0.6,0,2.4
粳米粥,1,47,1.1,9.9,0.3,0.1,0,2.8
粳米飯(蒸),1,118,2.6,26.2,0.3,0.2,0,3.3
粳糯米,1,344,7.9,76.7,0.8,0.7,0,2.8
糌粑(稞麥熟品),1,261,4.1,32.5,13.1,1.8,0,8.9
糜子(帶皮),1,336,10.6,75.1,0.6,6.3,0,9.6
糜子米(炒米),1,376,8.1,80.5,2.6,1,0,10.7
糯米[江米](均值),1,350,7.3,78.3,1,0.8,0,1.5
紫紅糯米[血糯米],1,346,8.3,75.1,1.7,1.4,0,4
綠豆糕,1,351,12.8,73.4,1,1.2,0,11.6
維夫餅乾,1,529,5.4,48,35.2,0.5,0,281.8
肚裏黃,1,337,8.8,76.7,1.2,8,0,5.2
芝麻桃酥,1,467,7,70.1,17.7,0.3,0,2.2
花卷,1,214,6.4,45.6,1,1.5,0,95
苦蕎麥粉,1,316,9.7,66,2.7,5.8,0,2.3
茯苓夾餅,1,345,4.4,84.3,0.4,6.5,0,103.4
莜麥麵,1,376,12.2,67.8,7.2,4.6,0,2.2
蕎麥,1,337,9.3,73,2.3,6.5,0,4.7
蕎麥(帶皮),1,319,9.5,73,1.7,13.3,0,4
薏米[薏仁米，苡米],1,361,12.8,71.1,3.3,2,0,3.6
薏米麵,1,351,11.3,73.5,2.4,4.8,0,2.3
蘇打餅乾,1,408,8.4,76.2,7.7,0,0,312.2
蛋清蛋糕,1,339,6.5,72.9,2.4,0,0,49
蛋糕(均值),1,348,8.6,67.1,5.1,0.4,0,67.8
蛋糕(黃蛋糕),1,320,9.5,57.1,6,0.2,0,32
蛋麻脆,1,456,9,66.7,17.4,1.8,0,67.9
蛋黃酥,1,388,11.7,76.9,3.9,0.8,0,100
西式蛋糕,1,316,7.8,63.8,3.4,0.3,0,47.6
起酥,1,500,8.7,45.1,31.7,0.3,0,493.9
通心麵[通心粉],1,351,11.9,75.8,0.1,0.4,0,35
酥皮糕點,1,429,8.1,65,15.5,1.4,0,55.7
釀皮,1,107,4.4,21.8,0.3,0.3,0,514.8
金錢酥,1,489,11.4,62.6,23.1,7.6,0,60
雞腿酥,1,436,6.2,72.7,13.4,0,0,406.8
青稞,1,342,8.1,75,1.5,1.8,0,77
面窩,1,291,5.2,44,10.7,1.1,0,154.8
餅乾(均值),1,435,9,71.7,12.7,1.1,0,204.1
饅頭(均值),1,223,7,47,1.1,1.3,0,165.1
香大米,1,347,12.7,72.4,0.9,0.6,0,21.5
高粱米,1,360,10.4,74.7,3.1,4.3,0,6.3
高蛋白豆米粉(秈米),1,414,16.5,71,7.1,0,0,0
鳳尾酥,1,511,6.6,64.2,25.3,0,0,0
鵝油卷,1,464,8.4,57.4,22.7,1.7,0,23.8
鹹麵包,1,275,9.2,51,3.9,0.5,0,526
麥片,1,368,12.4,67.3,7.4,8.6,0,20.9
麥胚麵包,1,246,8.5,50.9,1,0.1,0,457
麩皮,1,282,15.8,61.4,4,31.3,0,12.2
麵包(均值),1,313,8.3,58.6,5.1,0.5,0,230.4
麵條(乾切麵),1,355,11,77.7,0.1,0.2,0,60.9
麵條(均值),1,286,8.3,61.9,0.7,0.8,0,28
麵條(蝦蓉麵),1,436,8.5,68.3,15.1,3.6,0,304.2
麻烘糕,1,398,3.8,87.2,3.8,0.3,0,1.8
麻香糕,1,402,3.9,88.7,3.6,0.5,0,2.5
黃油麵包,1,331,7.9,55.6,8.7,0.9,0,14.5
黃米,1,351,9.7,76.9,1.5,4.4,0,3.3
黑米,1,341,9.4,72.2,2.5,3.9,0,7.1
黑麻香酥,1,443,5.6,70.6,16.1,3.3,0,36.5
丹麥條,1,380,8.5,50,16,2.1,12,200
全麥方包 (有皮),1,290,9.6,44,7.7,3.6,5.3,400
千層蛋糕,1,320,5,24,22,1.1,9.7,68
占醬多,1,330,11,47,11,5.2,12,380
印度薄餅,1,320,8.2,49,9.8,2.4,3.1,370
吉士泡芙,1,290,5.5,22,20,0,12,130
吞拿魚酥皮卷,1,360,11,30,21,1.3,4.4,510
咖喱酥皮卷,1,400,8.6,31,26,1.9,3.8,550
墨西哥包,1,360,9.2,49,14,1.7,11,130
奶油多,1,340,9.1,46,13,4.1,11,400
小蛋撻,1,320,5.2,35,18,1,19,68
拿破崙 (2016),1,510,8.3,48,32,1.6,23,250
拿破崙蛋糕 (2020),1,330,4.9,29,22,1.3,11,130
提子包,1,310,9.4,52,7.2,3,12,86
提子麥包,1,330,9.3,52,8.8,2.2,15,140
朱古力鮮奶球麵包,1,380,8.3,50,16,2,16,160
栗子蛋糕,1,270,3.7,27,16,1.6,11,54
"格仔餅（含牛油, 花生醬, 煉奶, 砂糖）",1,360,6.4,44,17,1.6,15,140
梳乎厘班戟（含糖霜）,1,220,9.8,23,10,0,7.6,170
椰絲撻,1,460,5.5,42,30,3,22,180
油炸鬼,1,460,8.6,36,32,1.3,0.92,680
油角,1,590,9.1,44,41,2.1,17,2.8
泡菜煎餅,1,210,4.1,26,10,2.4,1.9,470
淨牛油蛋糕 (2008),1,420,6.7,45,24,0,26,300
炸兩,1,230,4,27,12,0,1.1,480
牛奶麥皮,1,64,1.9,9.7,1.9,0,3.9,17
牛油排包,1,310,11,47,8.6,3.7,10,140
牛油蛋糕 (2020),1,430,6.7,44,25,1,17,240
牛脷酥,1,370,8.2,51,15,1.3,10,130
牛角酥,1,440,8.6,41,27,2,5.9,400
班戟(加牛油及糖漿),1,310,5,45,12,1,24,330
瑞士卷 (2003),1,370,7.7,36,21,1.4,20,180
瑞士卷 (2020),1,380,7.7,34,23,0,13,180
甜餐包,1,330,9.7,50,9.4,2,10,110
白方包,1,280,10,46,6.3,3.2,4.3,420
白方包 (有皮),1,290,9.4,46,7.2,2.4,6.2,420
皮蛋酥 (焗),1,380,6.9,40,22,2.1,16,120
笑口棗,1,590,6.1,45,43,1.9,16,76
紙包蛋糕,1,330,9.1,40,15,1.2,20,100
芒果忌廉千層蛋糕,1,190,2.2,19,12,0,13,53
芒果慕絲蛋糕,1,210,3.7,19,13,1.7,10,41
芝士撻,1,390,6.6,31,26,0,12,210
芝士蛋糕,1,320,7.6,30,19,0,19,210
芝麻包,1,310,10,47,8.6,2.4,5.8,480
菠蘿包 (2002),1,350,8.6,55,11,1.7,10,100
菠蘿包 (2018),1,360,8.6,53,13,1.8,14,140
葡撻,1,370,5.4,27,27,0,9.9,140
葱油餅,1,360,5.6,38,21,1.8,3.5,350
蒜蓉包,1,370,11,52,13,2.4,5.7,500
蛋撻,1,310,5.8,33,17,0,15,170
"西多士, 不包括牛油, 人造牛油和糖漿",1,340,11,24,22,1.5,2.2,280
豆沙鍋餅,1,320,6,39,16,2.6,15,24
豬仔包,1,290,10,45,7.9,3.6,5.2,360
雜款西餅,1,330,5.9,35,18,1.4,24,160
雞批,1,370,8.6,35,22,1.4,9.4,290
雞蛋仔,1,350,5.2,54,13,2,16,110
雪芳蛋糕 (2003),1,350,8.3,42,17,1.5,22,210
雪芳蛋糕 (2020),1,320,5.2,25,22,1.6,13,100
鬆餅 (2008),1,390,6.7,48,19,1.8,26,320
鬆餅 (2020),1,370,5.5,44,20,1.5,19,360
鮮奶撻,1,330,6,32,19,0,12,130
鮮果忌廉蛋糕,1,210,3.2,22,13,0,11,44
鮮果撻,1,230,2.6,27,13,1.3,15,78
麥方包,1,260,10,42,5.2,4.6,4.1,400
黑森林蛋糕,1,280,4.9,29,16,1.4,9.9,68
乾果果仁全麥及其他穀物早餐穀類食品,1,360,8,65,5,14.3,38,235
乾果甜餅,1,472,5.4,63.4,21.8,2.4,25.5,391
乾果甜麵包(不含糖霜面層),1,260,6.9,47.4,4,3.4,14.9,282
乾果甜麵包(糖霜面層),1,289,7.9,45.4,7.8,3.2,14.7,194
乾果麥麵包,1,268,8.1,49.1,3.8,2.7,14.6,185
乾果麥麵包(烘過),1,298,9,54.6,4.2,3,16.2,205
全穀物種子麵包,1,246,9.3,38.3,4.5,6.6,2.2,443
全穀物種子麵包(烘過),1,293,11.1,45.6,5.4,7.9,2.6,528
全蛋意粉(乾，未經烹煮),1,354,12.7,69.8,1.5,2.6,0,13
全蛋意粉(煮，添加鹽),1,144,5.7,27.4,0.6,1.9,0,73
全蛋意粉(煮，無添加鹽),1,144,5.7,27.4,0.6,1.9,0,3
全麥小圓烤餅(烘過),1,199,5.6,39.1,1.1,3.9,1.5,982
全麥小餅乾早餐穀類食品,1,338,8.7,62.5,2.9,12,1,2
全麥意粉(乾，未經烹煮),1,334,11.7,60.9,2.2,9.8,0,11
全麥意粉(乾，煮，添加鹽，無添加脂肪),1,129,4.7,22.8,0.7,5.3,0,75
全麥意粉(以不含鹽的水煮),1,129,4.7,22.8,0.7,5.3,0,5
全麥扁平麵包[彼得或黎巴嫩式],1,259,8.6,47.6,2.1,6.5,3.1,478
全麥片早餐穀類食品,1,347,10.3,65,2,11.7,3.4,361
全麥自發麵粉,1,349,10.6,65.3,2.1,11.3,0.9,655
全麥薄脆鹹餅乾,1,409,9.8,63.7,9.7,12.5,1.3,412
全麥薄脆鹹餅乾(膨化),1,382,13.1,69.1,3.8,7.6,1.5,364
全麥餐包,1,256,10,44,2.9,5.7,2.9,540
全麥餐包(烘過),1,291,11.4,50,3.3,6.5,3.3,613
全麥鹹餅乾,1,419,11.1,60.6,12.6,8,0.5,1021
全麥麵包,1,238,8.8,40.3,3,6.4,2.9,476
全麥麵包(烘過),1,283,10.5,48,3.6,7.6,3.5,567
全麥麵粉,1,352,11.4,65.3,2.1,11.3,0.9,5
全黑麥粉,1,317,12,55,2.3,12.2,1.4,4
冬甩(糖霜面層),1,423,5.7,46.2,24.1,2,21.9,223
冬甩(肉桂糖面層),1,365,6.6,39.9,19.8,1.9,13.7,417
北非麥粒(煮，無添加脂肪或鹽),1,159,5.2,32.2,0.3,2.2,0,4
印度烤餅(印度菜),1,289,8,43.5,8.6,2.9,12.2,95
印度薄餅(無添加脂肪),1,217,8,38.8,1.4,7.4,0.5,345
印度酥油餅(印度菜),1,284,8.1,45.5,6.4,6,12.7,117
厚酥餅,1,508,5.9,62,26.3,1.9,19.4,478
吉士撻(一人裝),1,253,6,28.9,12.5,1,10.9,258
吉士水果夾心丹麥酥,1,308,7.4,35.1,14.8,3.7,16.3,105
士乾包,1,281,9.1,40.3,8.8,1.7,6.5,820
威化筒(雪糕用),1,352,7.9,72,2.3,3.2,0.3,326
小圓烤餅(烘過),1,201,4.9,41.6,0.8,2.6,1.8,1002
小圓餅,1,220,5.7,38.4,4.4,2.1,13.8,650
小麥甜餅,1,461,7.6,67,17.1,5.6,21.6,423
小麥白麵粉,1,359,10.8,73,1.2,3.8,0,2
小麥糠(未經加工),1,260,17.1,15.5,4.6,45.4,2,18
小麥自發白麵粉,1,356,10.8,72.1,1.2,3.8,0,693
小麥麵(亞洲食品),1,146,6.3,26.5,1,1.7,0,100
小麥麵(即食，經調味，煮，瀝乾),1,187,3.9,22.8,8,3.5,0,291
布冧布甸(罐裝),1,280,5,49.3,7.1,2.2,34.7,346
希臘菠菜批(一人裝，即食),1,295,9.4,17.1,20,4.9,2.4,730
忌廉夾心威化餅,1,523,4.4,64.4,28,1.7,38,101
忌廉夾心餅(朱古力味),1,468,5.7,61.8,22.4,1.5,30.8,326
忌廉夾心餅(朱古力面層),1,498,5.9,57.5,28,0.6,38.9,190
忌廉夾心餅(雲呢拿味),1,488,4.9,63.8,24,1.5,31.4,406
忌廉夾心黑森林蛋糕[朱古力車厘子],1,350,3.8,40.6,19.3,2.8,30,240
忌廉果醬夾心餅,1,479,4.2,64.1,23.3,1.5,33.5,208
意大利杜蘭麥粉(生),1,326,9.8,66.2,1.2,3.2,0,4
意大利馬鈴薯麵角(煮),1,149,4.2,29.1,0.9,2.3,0.4,300
意粉(乾，以含鹽的水煮),1,140,4.2,28.4,0.3,2.1,0,66
意粉(乾，未經烹煮),1,335,10,67.6,1.4,3.2,0,5
意粉(乾，煮，無添加鹽),1,140,4.2,28.4,0.3,2.1,0,3
意粉(新鮮，未經烹煮),1,284,9.6,53.4,2.5,3.3,4.9,240
意粉(新鮮，煮),1,151,5.9,27.1,1.3,2.7,1.1,78
手指餅[肉餡酥餅](黎巴嫩菜),1,290,16.2,16,17.4,3.1,4.4,460
手指餅[蔬菜餡酥餅](黎巴嫩菜),1,338,6.4,26.5,21.5,7.2,3.4,330
朱古力粒果仁餅,1,490,6.5,55,27.4,1.7,25,346
朱古力粒餅,1,496,6.3,64.3,24,1.9,28.1,342
朱古力蛋糕(糖霜面層),1,388,6.1,50.9,18,1.3,27.9,290
杯子蛋糕(糖霜面層),1,372,4.7,55.9,14.9,1.1,36.5,370
林明頓蛋糕(不含忌廉),1,317,4.7,48,11.9,2.4,31.5,160
果仁甜餅,1,492,6.7,62,24.2,2.4,27.5,464
果仁粟米片早餐穀類食品,1,391,7.4,72.2,7.1,5.3,25.9,570
果醬夾心冬甩(糖面層),1,362,6,42.6,18.5,2.1,19,343
果醬夾心餅,1,428,4.4,63.3,17.7,1.8,32.4,140
果醬撻(一人裝),1,373,2.8,56.7,15.5,0.9,34.6,249
棉花糖夾心餅,1,408,4.8,61.6,15.8,3.5,35.9,132
棉花糖夾心餅(朱古力面層),1,434,6.3,59.7,19.5,0.7,40.8,137
椰子甜餅,1,475,5.8,66.4,20.7,3.4,35.4,220
椰子蛋白杏仁餅,1,489,5.1,57.3,25.6,8.6,35.5,234
水果夾心餅,1,378,4.8,67.7,9.8,2.8,38.6,160
水果或果醬全麥小餅乾早餐穀類食品,1,335,7.5,68.9,1.1,9.5,16.8,9
水果批[蘋果或杏](家庭裝),1,245,3.1,34.4,10.6,1.3,17.2,261
水果果仁甜餅,1,487,6,58,25.8,1.9,24.8,439
水果果仁雜錦穀物片早餐穀類食品[小麥、粟米、米、燕麥],1,361,8.3,70.3,3.5,7.6,18.2,120
水果甜餅(糖霜面層),1,491,6.6,62.9,23.9,1.9,31.9,408
水果蛋糕(含乾果，不含糖霜面層),1,360,4.9,53.6,13.9,3.3,34.9,360
水果蛋糕(含大量乾果，不含糖霜面層),1,339,5.3,53.6,11.6,3,40.4,310
水果餡切餅(糖霜面層),1,297,3.7,50.1,9.2,2,34.1,216
水果鬆餅,1,357,5.3,48.6,15.9,1.9,28.6,350
水果鬆餅(以預拌粉製成),1,304,5.4,47.6,10.3,2,29.1,410
油酥全麥麵皮(未焗),1,336,7.5,30.6,19.2,5.9,2.6,333
油酥全麥麵皮(焗),1,477,10.2,43.2,27,10.7,2.5,478
油酥麵皮(未焗),1,384,5.4,41.1,21.9,0.8,7.3,400
油酥麵皮(焗),1,508,6.8,55.7,28.4,1.9,9.9,478
泡芙酥皮(未焗),1,212,5.8,18.2,12.9,0,0.1,255
泡芙酥皮(焗，不含餡料),1,375,7.9,24.1,27.4,1.2,0.1,280
海綿蛋糕(不含餡料及糖霜面層),1,305,7.5,56.5,5.6,1.2,32.5,320
海綿蛋糕(以預拌粉製成),1,301,8.2,52.1,6.7,1.3,24.2,484
海綿蛋糕(果醬忌廉夾心),1,325,4.7,46.1,14,0.9,32.7,250
