食物名稱,種類,能量,蛋白質,碳水化合物,脂肪,膳食纖維,糖,鈉
青香蕉蘋果,4,52,0.3,13.1,0.1,1.3,0,1.3
餘柑子[油柑子],4,45,0.3,12.4,0.1,3.4,0,0
香梨,4,51,0.3,13.6,0.1,2.7,0,0.8
香玉蘋果,4,62,0.5,15.7,0.1,1.7,0,2.6
香蕉[甘蕉],4,93,1.4,22,0.2,1.2,0,0.8
馬蹄黃梨,4,50,0.3,12.5,0.1,1.3,0,3.3
高山白桃,4,42,0.7,10.1,0.2,1.3,0,0.7
鱷梨,4,171,2,7.4,15.3,2.1,0,10
鴨廣梨,4,60,0.6,16.5,0.2,5.1,0,1
鴨梨,4,45,0.2,11.1,0.2,1.1,0,1.5
鵝黃梨,4,41,0.3,10.7,0.1,1.9,0,1.7
麻醉瓜,4,17,0.7,3.6,0.1,0.4,0,0
黃元帥蘋果,4,59,0.2,14.7,0.3,1.8,0,0.6
黃桃,4,57,0.5,14,0.1,1.2,0,0
黃河蜜瓜,4,11,0.4,4,0,3.2,0,0
黃皮果,4,39,1.6,9.9,0.2,4.3,0,6.5
黃香蕉蘋果,4,53,0.3,13.7,0.2,2.2,0,0.8
黑棗(有核),4,247,3.7,61.4,0.5,9.2,0,1.2
黑棗(無核)[烏棗],4,234,1.7,57.3,0.3,2.6,0,6.3
黑醋栗[黑加侖],4,66,1.4,15.4,0.4,2.4,0,2
啤梨(不連皮),4,50,0,12,0,2,7.3,0
啤梨(連皮),4,51,0,12,0,3,7.4,0
富士蘋果(不連皮),4,50,0,12,0.3,1.3,9.2,0
富士蘋果(連皮),4,51,0,12,0.4,1.7,11,0
提子(不連皮),4,68,0.6,16,0.4,0,14,0
提子(連皮),4,69,0.6,15,0.6,0,14,0
柚子,4,40,0.7,8.5,0.4,1.3,7.2,0
火龍果,4,56,1.1,9.6,1.4,1.7,7.6,0
蓮霧,4,35,0.6,7.6,0,1,6.7,0
蛇果(不連皮),4,53,0,12,0.3,1.7,12,0
蛇果(連皮),4,54,0,12,0.4,2.4,12,0
蜜梨(不連皮),4,40,0.3,9.4,0,1.5,5.5,0
蜜梨(連皮),4,40,0.4,9.3,0,2.5,5.8,0
青蘋果(不連皮),4,46,0.3,11,0.3,2,9.9,0
青蘋果(連皮),4,46,0.3,11,0.3,2.8,9.9,0
香梨(不連皮),4,49,0,12,0,1.4,6.7,0
香梨(連皮),4,50,0.3,11,0.3,2.6,7.1,0
仙人掌果(去皮),4,49,0.4,8.8,0.3,4.6,8.8,1
加侖子乾,4,280,2.8,65.1,0.5,6,63.2,46
哈蜜瓜雜果沙律(新鮮),4,38,0.7,7.5,0.2,1.3,7.5,14
墨式牛油果醬,4,174,2,1.2,17.4,3,1.1,108
士多啤梨,4,23,1.7,2.7,0.1,1.4,2.7,6
士多啤梨(罐裝，糖水浸),4,81,0.5,18.8,0.2,1.5,18.7,8
士多啤梨(罐裝，糖水浸，瀝乾),4,85,0.9,18.7,0.1,3.5,18.5,10
士多啤梨(雪藏),4,23,1.7,2.7,0.1,1.4,2.7,6
大樹菠蘿(去皮),4,84,2.2,16.7,0.3,3,16.3,3
奇異果(海沃德品種，去皮),4,53,1.2,9.1,0.2,3.8,9.1,4
山木瓜(去皮),4,22,1.3,3.1,0.1,0.9,3.1,2
布冧(連皮),4,39,0.6,6.5,0.1,2,6.5,2
提子(湯姆生無核品種),4,68,0.6,15.5,0.1,2.4,15.5,4
提子(紅地球品種),4,78,0.9,16.3,0.2,3.5,16.3,5
提子(黑色無核品種),4,67,1.2,14,0.1,3.3,14,3
新西蘭番茄(去皮),4,36,2,3.4,0.1,4.7,3.4,1
木瓜(去皮),4,34,0.4,6.9,0.1,2.3,6.9,7
杏,4,41,0.8,6.6,0.1,2.5,6.6,2
杏(罐裝，梨汁浸),4,46,0.8,8.2,0,1.8,8.2,4
杏(罐裝，梨汁浸，瀝乾),4,47,1,7.8,0,3.1,7.8,3
杏(罐裝，稀糖水浸),4,50,0.7,9.7,0,1.6,9.7,3
杏(罐裝，稀糖水浸，瀝乾),4,52,1,9,0,2.9,9,3
杏(罐裝，糖水浸),4,62,0.7,12.9,0,1.7,12.9,2
杏(罐裝，糖水浸，瀝乾),4,62,0.9,12.3,0,3.1,12.3,2
杏脯,4,221,4.5,43.5,0.2,7.7,42.4,39
枇杷(去皮),4,30,1,4.9,0.2,1.7,4.9,2
柿(去皮),4,72,0.6,16.1,0.2,2.6,16.1,6
桃(罐裝，梨汁浸),4,45,0.6,8.5,0,1.4,8.5,8
桃(罐裝，梨汁浸，瀝乾),4,48,0.8,8.4,0.1,2.1,8.4,7
桃(罐裝，稀糖水浸),4,56,0.6,12.3,0,1.4,12.3,3
桃(罐裝，稀糖水浸，瀝乾),4,55,0.8,11.5,0,2.2,11.5,2
桃(罐裝，糖水浸),4,55,0.6,12.1,0,1.5,12.1,3
桃(罐裝，糖水浸，瀝乾),4,55,0.7,11.5,0,2.1,11.5,3
桃(連皮),4,47,1,8.7,0.1,2.3,8.5,2
桃駁梨(連皮),4,45,1.2,8.1,0.1,2.1,8.1,0
桑葚,4,34,2.2,4.3,0.2,2.2,4.3,6
梅[李乾],4,202,2.3,32.5,0.4,7.8,31,7
梨(帕克哈姆品種，連皮),4,55,0.3,9.1,0,2.4,9.1,1
梨(罐裝，梨汁浸),4,47,0.5,8.7,0,1.7,8.7,6
梨(罐裝，梨汁浸，瀝乾),4,48,0.6,8.6,0,2.8,8.6,6
梨(罐裝，稀糖水浸),4,63,0.3,13.7,0,1.9,13.7,2
梨(罐裝，稀糖水浸，瀝乾),4,63,0.4,13.2,0,3.2,13.2,2
梨(罐裝，糖水浸),4,67,0.4,14.1,0,1.9,14.1,3
梨(罐裝，糖水浸，瀝乾),4,68,0.6,13.7,0,3,13.7,3
梨(連皮),4,59,0.3,9.6,0,3.6,9.6,2
棗乾,4,290,2,67.2,0.2,9.7,65.9,14
榅桲(去皮),4,58,0.5,11,0.2,5.2,11,16
橘柚(去皮),4,42,0.6,7.8,0.1,2,7.8,4
橙(巴倫西亞品種，去皮),4,37,0.9,6.9,0.1,2.3,6.9,2
檸檬(去皮),4,28,0.6,1.8,0.2,2.5,1.8,2
水果沙律(罐裝，梨汁浸),4,45,0.6,8.5,0.1,1.4,8.5,6
水果沙律(罐裝，梨汁浸，瀝乾),4,46,0.8,8.2,0.1,2.2,8.2,6
水果沙律(罐裝，濃糖水浸),4,83,0.5,19.5,0.1,1.8,19.5,2
水果沙律(罐裝，濃糖水浸，瀝乾),4,84,0.6,19,0.2,2.8,19,2
水果沙律(罐裝，糖水浸),4,51,0.4,11,0.1,1.1,11,4
水果沙律(罐裝，糖水浸，瀝乾),4,52,0.6,10.6,0.1,1.8,10.6,4
水果沙律(罐裝，菠蘿汁浸),4,52,0.7,11,0.1,1.7,11,2
水果沙律(罐裝，菠蘿汁浸，瀝乾),4,54,0.9,10.8,0.2,2.4,10.8,2
無核提子乾,4,314,2.8,75,0.4,4.4,73.2,36
無花果(連皮),4,47,1.4,8.1,0.3,3.3,8.1,3
無花果乾,4,259,3.6,54.5,0.7,14.3,52.6,39
牛油果,4,207,2,0.5,21.4,2.8,0.5,4
牛油果(漢斯品種),4,205,2,0.6,21.2,2.8,0.6,4
牛油果(福阿特品種),4,238,2,0.2,25.4,1.6,0.2,2
番石榴(夏威夷品種),4,35,0.7,3.5,0.5,5.4,3.4,4
番荔枝(非洲品種，去皮),4,78,1.4,15.8,0.6,2.5,14.7,4
白皮蜜瓜(去皮),4,36,0.7,7.1,0.3,1,7.1,44
百香果,4,73,3,5.7,0.3,13.9,5.7,19
百香果肉(罐裝),4,73,3,5.7,0.3,13.9,5.7,19
皺皮瓜(去皮),4,29,0.6,5.7,0.1,1.2,5.7,17
石榴(去皮),4,79,1.9,13.5,0.2,6.4,13.5,4
秋子梨(連皮),4,50,0.4,11.1,0.1,2.1,10.6,7
糖漬車厘子,4,259,0.4,66.5,0,0.9,66.5,27
紅毛丹,4,75,1,15.7,0.4,2.8,15.7,2
紅蘋果(連皮),4,58,0.3,12.2,0.2,2.3,12,1
臍橙(去皮),4,42,1,8,0.1,2.4,8,3
芒果(去皮),4,56,0.9,11.6,0.2,1.5,11.2,1
荔枝(去皮),4,71,1.1,16.2,0.1,1.3,16.2,1
菠蘿(去皮),4,43,0.6,8.2,0.2,1.8,8.2,2
菠蘿(新鮮，以稀糖水煮，瀝乾),4,50,0.2,10.4,0.4,1.7,10.4,2
菠蘿(罐裝，濃糖水浸),4,87,0.3,19.8,0.6,0.7,19.8,6
菠蘿(罐裝，濃糖水浸，瀝乾),4,83,0.2,19.4,0.3,1.4,19.4,2
菠蘿(罐裝，菠蘿汁浸),4,57,0.5,12,0.6,0.8,12,5
菠蘿(罐裝，菠蘿汁浸，瀝乾),4,50,0.5,10.5,0.1,1.9,10.5,4
蓮霧,4,27,0.7,4.5,0.2,1.9,4.5,1
藍莓,4,53,0.6,11.3,0.1,1.8,10.8,0
藍莓(罐裝，糖水浸),4,73,0.4,17.2,0,1.8,17,3
藍莓(罐裝，糖水浸，瀝乾),4,78,0.8,16.9,0.1,4,16.6,5
藍莓(雪藏),4,54,0.6,11.6,0.1,1.8,11.1,0
蘋果(五爪品種，連皮),4,57,0.3,12.8,0,2.2,12.4,1
蘋果(富士品種，連皮),4,59,0.3,12.1,0.3,2.4,12.1,2
蘋果(黃金品種，連皮),4,50,0.3,10.8,0,2.5,10.8,2
蘋果乾,4,310,1.3,67.4,0.3,16.7,62.1,91
蜜柑(去皮),4,46,0.9,9,0.2,1.4,9,3
蜜柑(罐裝，糖水浸),4,58,0.4,13.5,0.1,0.6,13.4,5
蜜柑(罐裝，糖水浸，瀝乾),4,61,0.5,13.8,0.2,1.1,13.6,6
褐色梨,4,64,0.3,10.4,0,3.4,10.4,2
西柚(去皮),4,34,1,5.4,0.2,1.7,5.4,4
西瓜(去皮),4,31,0.4,6.4,0.3,0.6,6.4,2
覆盆子,4,54,1.2,7.3,0.3,6.1,7,1
覆盆子(罐裝，糖水浸),4,76,0.6,17,0.1,2.5,16.8,5
覆盆子(罐裝，糖水浸，瀝乾),4,83,1,16.2,0.2,6,15.9,6
覆盆子(雪藏),4,54,1.2,7.3,0.3,6.1,7,1
車厘子,4,60,0.8,10.9,0.2,1.5,10.9,0
雜果乾,4,280,2,65.2,0.9,5.6,63.5,78
青檸(去皮),4,30,0.8,1.2,0.2,4.1,1.2,3
青蘋果(格蘭尼史密斯品種，焗，連皮),4,52,0.4,10.3,0.2,3.1,9.8,3
青蘋果(格蘭尼史密斯品種，連皮),4,50,0.3,10.7,0,2.3,10.5,2
青蘋果(連皮),4,49,0.3,10.6,0,2.4,10.4,2
香瓜茄(去皮),4,24,0.6,4.8,0.1,1.1,4.8,1
香蕉(卡文迪什品種，去皮),4,91,1.7,19.8,0.1,2.7,16.9,1
黃皮蜜瓜(去皮),4,26,0.8,4.4,0.3,0.9,4.4,40
黑布冧(罐裝，糖水浸),4,89,0.3,21.3,0.1,1,21.1,3
黑布冧(罐裝，糖水浸，瀝乾),4,93,0.4,21.3,0.1,2,21,4
黑莓,4,51,1.4,7.5,0.3,6.1,7.5,0
黑莓(雪藏),4,51,1.4,7.5,0.3,6.1,7.5,0
黑車厘子(罐裝，糖水浸),4,72,0.7,16,0.1,0.9,15.8,4
黑車厘子(罐裝，糖水浸，瀝乾),4,75,0.9,16,0.1,1.7,15.7,5
大樹菠蘿,4,108,1.7,24.1,0.5,1.6,0,43
木瓜(成熟),4,41,0.5,9.5,0.1,1.3,0,24
柚子,4,46,0.7,9.9,0.4,0.7,0,0
柿子,4,105,0.3,26,0,0,0,0
棗(泰國品種),4,89,1.7,18.7,0.8,3.8,0,3
楊桃,4,37,0.4,8.7,0.1,2.7,0,2
"榴槤(Kan-yow品種, 成熟)",4,153,2.7,29,3,0,0,5
榴槤(金枕頭),4,163,2.2,30.1,3.7,3.1,0,6
榴槤(青尼品種),4,158,2.7,25.4,5.1,4.1,0,29
火龍果,4,66,1.4,12.4,1.2,2.6,0,0
番石榴,4,52,0.7,12.1,0.1,3.7,0,15
糖椰子(乾),4,449,2.9,65.2,19.6,11.3,0,20
紅毛丹,4,77,1,17.9,0.1,0,0,22
罐裝糖水浸荔枝,4,96,0.4,21.3,1,0.5,16.9,14
罐裝荔枝(瀝乾水分),4,96,0.4,21.3,1,0.5,0,14
罐裝龍眼(瀝乾水分),4,94,0.3,20.7,1.1,0.3,0,6
"芒果(Kaew 品種, 成熟)",4,93,0.6,22.4,0.1,1.6,0,0
"芒果(0m-dok-mai 品種, 成熟)",4,80,0.9,18.8,0.2,1.2,0,3
"芒果(thong-dum 品種, 成熟)",4,82,0.6,19.9,0,0,0,0
"芒果(白象牙芒果,，成熟)",4,85,0.5,20.3,0.2,0,0,0
芒果(青皮芒果， 成熟),4,82,0.8,19.2,0.2,1.3,0,44
荔枝,4,65,1,14.9,0.2,1.2,0,1
荔枝(Hong-houy 品種),4,68,1.1,15.6,0.2,1.5,0,4
菠蘿,4,61,0.4,14.7,0.1,1.2,0,5
蓮霧(Khak-dum品種),4,27,0.6,6.2,0,0,0,0
西瓜,4,25,0.6,5.4,0,0.3,0,6
青蓮霧,4,31,0.5,7.3,0.1,1.1,0,66
香蕉(Horn品種),4,113,1.3,26.7,0.1,1.9,0,21
香蕉(南華蕉),4,122,0.8,29,0.2,2.4,0,5
香蕉(旦蕉),4,126,1.4,29.7,0.2,2.2,0,10
龍眼,4,76,1.2,17.5,0.1,0.9,0,7
龍眼乾,4,319,4.6,74.3,0.4,0,0,5
