食物名稱,種類,能量,蛋白質,碳水化合物,脂肪,膳食纖維,糖,鈉
梨(罐裝，水浸，連液體),4,29,0.19,7.81,0.03,1.6,6.1,2
梨(罐裝，濃糖水浸，瀝乾),4,74,0.24,19.08,0.18,2.7,16.42,5
梨(罐裝，濃糖水浸，連液體),4,74,0.2,19.17,0.13,1.6,15.2,5
梨(罐裝，稀糖水浸，連液體),4,57,0.19,15.17,0.03,1.6,12.1,5
梨乾(經亞硫酸處理，未經烹煮),4,262,1.87,69.7,0.63,7.5,62.2,6
梨乾(經亞硫酸處理，燴，添加糖),4,140,0.86,37.14,0.29,5.8,0,3
梨乾(經亞硫酸處理，燴，無添加糖),4,127,0.91,33.81,0.31,6.4,27.41,3
棗,4,79,1.2,20.23,0.2,0,0,3
棗乾,4,287,3.7,73.6,1.1,0,0,9
椰棗,4,282,2.45,75.03,0.39,8,63.35,2
楊桃,4,31,1.04,6.73,0.33,2.8,3.98,2
榅桲,4,57,0.4,15.3,0.1,1.9,0,4
榴槤(未加工或雪藏),4,147,1.47,27.09,5.33,3.8,0,2
橙,4,47,0.94,11.75,0.12,2.4,9.35,0
橙(連皮),4,63,1.3,15.5,0.3,4.5,0,2
橙皮,4,97,1.5,25,0.2,10.6,0,3
檸檬(去皮),4,29,1.1,9.32,0.3,2.8,2.5,2
檸檬(連皮),4,20,1.2,10.7,0.3,4.7,0,3
檸檬皮,4,47,1.5,16,0.3,10.6,4.17,6
歐洲黑加侖子,4,63,1.4,15.38,0.41,0,0,2
水果沙律[桃、梨、杏、菠蘿及車厘子](罐裝，果汁浸，連液體),4,50,0.51,13.05,0.03,1,0,5
水果沙律[桃、梨、杏、菠蘿及車厘子](罐裝，水浸，連液體),4,30,0.35,7.87,0.07,1,0,3
水果沙律[桃、梨、杏、菠蘿及車厘子](罐裝，濃糖水浸，連液體),4,73,0.34,19.11,0.07,1,18.11,6
水果沙律[桃、梨、杏、菠蘿及車厘子](罐裝，稀糖水浸，連液體),4,58,0.34,15.14,0.07,1,0,6
海棠果,4,76,0.4,19.95,0.3,0,0,1
無花果,4,74,0.75,19.18,0.3,2.9,16.26,1
無花果(罐裝，水浸，連液體),4,53,0.4,13.99,0.1,2.2,11.79,1
無花果(罐裝，濃糖水浸，連液體),4,88,0.38,22.9,0.1,2.2,20.7,1
無花果(罐裝，稀糖水浸，連液體),4,69,0.39,17.95,0.1,1.8,16.15,1
無花果乾(未經烹煮),4,249,3.3,63.87,0.93,9.8,47.92,10
無花果乾(燴),4,107,1.42,27.57,0.4,4.2,23.35,4
熱帶水果沙律[菠蘿、木瓜、香蕉及番石榴](罐裝，濃糖水浸，連液體),4,86,0.41,22.36,0.1,1.3,0,2
燈籠果,4,53,1.9,11.2,0.7,0,0,0
牛油果,4,160,2,8.53,14.66,6.7,0.66,7
甜車厘子,4,63,1.06,16.01,0.2,2.1,12.82,0
甜車厘子(罐裝，去核，濃糖水浸，瀝乾),4,83,0.73,21.07,0.21,2.3,16.18,3
甜車厘子(罐裝，去核，濃糖水浸，連液體),4,83,0.6,21.27,0.15,1.4,16.18,3
甜車厘子(罐裝，果汁浸，連液體),4,54,0.91,13.81,0.02,1.5,12.31,3
甜車厘子(罐裝，水浸，連液體),4,46,0.77,11.76,0.13,1.5,10.26,1
甜車厘子(罐裝，稀糖水浸，連液體),4,67,0.61,17.29,0.15,1.5,15.79,3
甜車厘子(雪藏，添加糖),4,89,1.15,22.36,0.13,2.1,20.26,1
番石榴,4,68,2.55,14.32,0.95,5.4,8.92,2
番荔枝,4,101,1.7,25.2,0.6,2.4,0,4
番荔枝,4,94,2.06,23.64,0.29,4.4,0,9
白西柚,4,33,0.69,8.41,0.1,1.1,7.31,0
石榴,4,83,1.67,18.7,1.17,4,13.67,3
粉紅、紅或白西柚,4,32,0.63,8.08,0.1,1.1,6.98,0
粉紅及紅西柚,4,42,0.77,10.66,0.14,1.6,6.89,0
紅加侖子及白加侖子,4,56,1.4,13.8,0.2,4.3,7.37,1
紅或青提子[歐洲品種，如湯姆生無核品種],4,69,0.72,18.1,0.16,0.9,15.48,2
紅毛丹(罐裝，糖水浸),4,82,0.65,20.87,0.21,0.9,0,11
紅覆盆子(罐裝，濃糖水浸，連液體),4,91,0.83,23.36,0.12,3.3,20.06,3
紅覆盆子(雪藏，添加糖),4,103,0.7,26.16,0.16,4.4,21.76,1
紫布冧(罐裝，果汁浸，連液體),4,58,0.51,15.15,0.02,0.9,14.22,1
紫布冧(罐裝，水浸，連液體),4,41,0.39,11.03,0.01,0.9,10.1,1
紫布冧(罐裝，濃糖水浸，連液體),4,89,0.36,23.24,0.1,0.9,22.31,19
紫布冧(罐裝，稀糖水浸，連液體),4,63,0.37,16.28,0.1,0.9,15.35,20
紫皮百香果,4,97,2.2,23.38,0.7,10.4,11.2,28
羅望子,4,239,2.8,62.5,0.6,5.1,57.4,28
臍橙,4,49,0.91,12.54,0.15,2.2,8.5,1
芒果,4,65,0.51,17,0.27,1.8,14.8,2
荔枝,4,66,0.83,16.53,0.44,1.3,15.23,1
荔枝乾,4,277,3.8,70.7,1.2,4.6,66.1,3
菠蘿,4,50,0.54,13.12,0.12,1.4,9.85,1
菠蘿(罐裝，果汁浸，瀝乾),4,60,0.51,15.56,0.11,1.3,14.26,1
菠蘿(罐裝，果汁浸，連液體),4,60,0.42,15.7,0.08,0.8,14.45,1
菠蘿(罐裝，水浸，連液體),4,32,0.43,8.3,0.09,0.8,7.5,1
菠蘿(罐裝，濃糖水浸，連液體),4,78,0.35,20.2,0.11,0.8,16.9,1
菠蘿(罐裝，稀糖水浸，連液體),4,52,0.36,13.45,0.12,0.8,12.65,1
菠蘿塊(雪藏，添加糖),4,86,0.4,22.2,0.1,1.1,21.1,2
蓮霧,4,25,0.6,5.7,0.3,0,0,0
藍莓,4,57,0.74,14.49,0.33,2.4,9.96,1
藍莓(罐裝，濃糖水浸，連液體),4,88,0.65,22.06,0.33,1.6,20.46,3
藍莓(罐裝，稀糖水浸，瀝乾),4,88,1.04,22.66,0.4,2.6,17.45,3
藍莓(雪藏，添加糖),4,81,0.4,21.95,0.13,2.2,19.72,1
藍莓(雪藏，無添加糖),4,51,0.42,12.17,0.64,2.7,8.45,1
藍莓批餡料(罐裝),4,181,0.41,44.38,0.2,2.6,37.75,12
蘋果(去皮),4,48,0.27,12.76,0.13,1.3,10.1,0
蘋果(去皮，以微波爐烹煮熟),4,56,0.28,14.41,0.42,2.8,11.61,1
蘋果(去皮，烚熟),4,53,0.26,13.64,0.36,2.4,11.01,1
蘋果(罐裝，添加糖，切片，瀝乾，加熱),4,67,0.18,16.84,0.43,2,14.84,3
蘋果(罐裝，添加糖，切片，瀝乾，未經加熱),4,67,0.18,16.7,0.49,1.7,15,3
蘋果(脫水[低水分]，經亞硫酸處理，未經烹煮),4,346,1.32,93.53,0.58,12.4,81.13,124
蘋果(脫水[低水分]，經亞硫酸處理，燴),4,74,0.28,19.91,0.12,2.6,0,26
蘋果(連皮),4,52,0.26,13.81,0.17,2.4,10.39,1
蘋果(雪藏，不添加糖，加熱),4,47,0.29,12,0.33,1.9,0,3
蘋果(雪藏，不添加糖，未經加熱),4,48,0.28,12.31,0.32,1.9,0,3
蘋果乾(經亞硫酸處理，未經烹煮),4,243,0.93,65.89,0.32,8.7,57.19,87
蘋果乾(經亞硫酸處理，燴，添加糖),4,83,0.2,20.73,0.07,1.9,0,19
蘋果乾(經亞硫酸處理，燴，無添加糖),4,57,0.22,15.32,0.07,2,13.32,20
蘋果批餡料(罐裝),4,100,0.1,26.1,0.1,1,13.8,47
蘋果醬(罐裝，添加糖及鹽),4,76,0.18,19.91,0.18,1.2,0,28
蜜柑,4,53,0.81,13.34,0.31,1.8,10.58,2
蜜柑(罐裝，果汁浸),4,37,0.62,9.57,0.03,0.7,8.87,5
